"StateCode","NeighborStateCode"
"AK","WA"
"AL","TN"
NA,"GA"
NA,"FL"
NA,"MS"
"AR","MO"
NA,"TN"
NA,"MS"
NA,"LA"
NA,"TX"
NA,"OK"
"AZ","UT"
NA,"CO"
NA,"NM"
NA,"CA"
NA,"NV"
"CA","OR"
NA,"NV"
NA,"AZ"
NA,"HI"
"CO","WY"
NA,"NE"
NA,"KS"
NA,"OK"
NA,"NM"
NA,"AZ"
NA,"UT"
"CT","MA"
NA,"RI"
NA,"NY"
"DC","MD"
NA,"VA"
"DE","PA"
NA,"NJ"
NA,"MD"
"FL","GA"
NA,"AL"
"GA","NC"
NA,"SC"
NA,"FL"
NA,"AL"
NA,"TN"
"HI","CA"
"IA","MN"
NA,"WI"
NA,"IL"
NA,"MO"
NA,"NE"
NA,"SD"
"ID","MT"
NA,"WY"
NA,"UT"
NA,"NV"
NA,"OR"
NA,"WA"
"IL","WI"
NA,"IN"
NA,"KY"
NA,"MO"
NA,"IA"
"IN","MI"
NA,"OH"
NA,"KY"
NA,"IL"
"KS","NE"
NA,"MO"
NA,"OK"
NA,"CO"
"KY","OH"
NA,"WV"
NA,"VA"
NA,"TN"
NA,"MO"
NA,"IL"
NA,"IN"
"LA","AR"
NA,"MS"
NA,"TX"
"MA","NH"
NA,"RI"
NA,"CT"
NA,"NY"
NA,"VT"
"MD","PA"
NA,"DE"
NA,"DC"
NA,"VA"
NA,"WV"
"ME","NH"
"MI","OH"
NA,"IN"
NA,"WI"
"MN","WI"
NA,"IA"
NA,"SD"
NA,"ND"
"MO","IA"
NA,"IL"
NA,"KY"
NA,"TN"
NA,"AR"
NA,"OK"
NA,"KS"
NA,"NE"
"MS","TN"
NA,"AL"
NA,"LA"
NA,"AR"
"MT","ND"
NA,"SD"
NA,"WY"
NA,"ID"
"NC","VA"
NA,"SC"
NA,"GA"
NA,"TN"
"ND","MN"
NA,"SD"
NA,"MT"
"NE","SD"
NA,"IA"
NA,"MO"
NA,"KS"
NA,"CO"
NA,"WY"
"NH","ME"
NA,"MA"
NA,"VT"
"NJ","NY"
NA,"DE"
NA,"PA"
"NM","CO"
NA,"OK"
NA,"TX"
NA,"AZ"
NA,"UT"
"NV","ID"
NA,"UT"
NA,"AZ"
NA,"CA"
NA,"OR"
"NY","VT"
NA,"MA"
NA,"CT"
NA,"NJ"
NA,"PA"
"OH","PA"
NA,"WV"
NA,"KY"
NA,"IN"
NA,"MI"
"OK","KS"
NA,"MO"
NA,"AR"
NA,"TX"
NA,"NM"
NA,"CO"
"OR","WA"
NA,"ID"
NA,"NV"
NA,"CA"
"PA","NY"
NA,"NJ"
NA,"DE"
NA,"MD"
NA,"WV"
NA,"OH"
"RI","MA"
NA,"CT"
"SC","NC"
NA,"GA"
"SD","ND"
NA,"MN"
NA,"IA"
NA,"NE"
NA,"WY"
NA,"MT"
"TN","KY"
NA,"VA"
NA,"NC"
NA,"GA"
NA,"AL"
NA,"MS"
NA,"AR"
NA,"MO"
"TX","OK"
NA,"AR"
NA,"LA"
NA,"NM"
"UT","ID"
NA,"WY"
NA,"CO"
NA,"NM"
NA,"AZ"
NA,"NV"
"VA","MD"
NA,"DC"
NA,"NC"
NA,"TN"
NA,"KY"
NA,"WV"
"VT","NH"
NA,"MA"
NA,"NY"
"WA","AK"
NA,"ID"
NA,"OR"
"WI","MI"
NA,"IL"
NA,"IA"
NA,"MN"
"WV","PA"
NA,"MD"
NA,"VA"
NA,"KY"
NA,"OH"
"WY","MT"
NA,"SD"
NA,"NE"
NA,"CO"
NA,"UT"
NA,"ID"
