"step","category","file","code","entity","description","action","reason"
"pre-process","trimming","data_pre_process.R","TR001","COLUMN","green16_frac, libert16_frac, other16_frac","trim","we will not consider these minority parties. Gary Johnson and Jill Stein did not win a single county so third parties will not affect largely the result between Democratic and Republican party. Nonetheless, we will create a other16_frac column just in case"
"pre-process","trimming","data_pre_process.R","TR002","COLUMN","all with suffix _frac2","trim","they are calculated by the author to just consider 2 major parties in the ratio, but since we want to group all other parties as one, we do not need this"
"pre-process","trimming","data_pre_process.R","TR003","COLUMN","all with prefix votes16_ except for votes16_trumpd and votes16_clintonh","trim","we will sum the votes of all third parties to votes16_other"
"pre-process","trimming","data_pre_process.R","TR004","COLUMN","name_prev, ST, County, State, votes, reporting, precincts, X, Y, X1","trim","they are of no use to our usage and merely left there in the dataset as tracers of the election scrapping algorithm that the author used, or they are merely duplicated of some other columns"
"pre-process","trimming","data_pre_process.R","TR005","COLUMN","At.Least.High.School.Diploma","trim","not surprisingly this and Less.Than.High.School sum to 100% and so we can count this as redundant"
"pre-process","trimming","data_pre_process.R","TR006","COLUMN","nearest county, temp, precip, temp_bins, lat_bins, lon_bins, precip_bins, elevation_bins, lon, lat, elevation","trim","trace or temporary features of the scraping algorithm used to mine weather data"
"pre-process","trimming","data_pre_process.R","TR007","COLUMN","all with suffix _TMAX, _TMIN, _TAVG, _PRCP, except for winter_PRCP and winter_TAVG","trim","we do not need all weather data, we will only keep winter data for the period of time during the election as this potentially affect the outcome of the election (e.g. due to bad weather, people cannot vote, etc.)"
"pre-process","trimming","data_pre_process.R","TR008","COLUMN","White, Black, Hispaic, Asian, Amerindian, Other, White_Asian","trim","duplicated to the other race features, probably used by the author for his socioeconomic factor calculations"
"pre-process","trimming","data_pre_process.R","TR009","COLUMN","CA, S, MAR, CFS, ACFS, MeanALC, MaxALC, Mixedness","trim","those are columns that the author computed in his paper, there are little knowledge of how he computed them as well as how to use them but they are calculated but on the demographics informations that we already have, so we can safely discard them"
"pre-process","trimming","data_pre_process.R","TR010","ROW","Alaska County (2000) and Oglala Lakota county (46102) and all rows where the county has no name, or no county FIPS code","trim","Alaska does not have the county system (they have boroughs) and thus we do not have their other demographic data based on county. Oglala Lakota is the Indian reservation area and we do not have most of their demographic data as well. As we use county FIPS code to match data while merging dataset, rows without county FIPS code should be discarded. Evidently, these rows and the rows for county without names have a lot of missing data and should be discarded"
