"name","var_name","display_name","category","unit","meaning","formula_latex","lbound","ubound","remark","status","year","source"
"name_prev","_name_prev","","administration",NA,"Previous name of county","",NA,NA,"there might be some difference between this and the value of name_16","","2008","http://www.nytimes.com/elections/2008/results/president/map.html"
"fips","fips_county","FIPS County Code","administration",NA,"FIPS county code","@text{2 digits state FIPS code} + @text{(up to) 3 digits for county code}",0,57000,"FIPS is federal Information Processing Standard ","","2016","http://www.nytimes.com/elections/results/president"
"name_16","name","County Name","administration",NA,"county name","",NA,NA,"","","2016","http://www.nytimes.com/elections/results/president"
"X1","_x1","","administration",NA,"FIPS county code","@text{2 digits state FIPS code} + @text{(up to) 3 digits for county code}",0,57000,"","duplicate of fips","2016","http://www.nytimes.com/elections/results/president"
"County","_county","","administration",NA,"county name","",NA,NA,"","duplicate of name_16","2016","http://www.nytimes.com/elections/results/president"
"ST","_state_letter_code","","administration",NA,"two-letter state code","",0,57,"","","2010","http://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_SF1/G001/0100000US.05000.003"
"statecode_prev","fips_state","FIPS State Code","administration",NA,"FIPS previous state code","",NA,NA,"used for matching data between the NYT datasets","","2010","http://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_SF1/G001/0100000US.05000.003"
"State","_state_name","","administration","","state full name","",NA,NA,"","","2010","http://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_SF1/G001/0100000US.05000.003"
"Uninsured","demo_uninsured","Uninsured Rate","healthcare","%","percentage of population under 65 without insurance","@frac{@text{number of people under 65 without insurance}}{@text{total population}}@times{100}",0,100,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"Unemployment","demo_unemployment","Unemployment Rate","occupation","%","percentage of population age >= 16 unemployed and/or looking for job","@frac{@text{number of people age} @geq 16 @text{ unemployed and/or looking for job}}{@text{total population}}@times{100}",0,100,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"Violent.crime","demo_violent_crime","Crime Rate","crime",NA,"number of crimes reported to law enforcement agencies per 100,000 total population","@frac{@text{number of violent crimes}}{@text{total population}}@times{100000}",0,100000,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"Homicide.rate","demo_homicide","Homicide Rate","crime",NA,"homicide mortality rate per 100,000 total population","@frac{@text{number of homicide crimes}}{@text{total population}}@times{100000}",0,100000,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"Total.Population","population","Total Population","demographics",NA,"total population","",0,NA,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"median_age","demo_median_age","Median Age","demographics","year","median age","",0,NA,"","updatable to 2015 data","2010","http://factfinder.census.gov/bkmk/table/1.0/en/ACS/10_5YR/S0101/0100000US.05000.003 "
"Less.Than.High.School","education_less_than_high_school","Less Than High School","education","%","percentage of population with education level less than highschool","@frac{@text{number of people with education level less than highschool}}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"At.Least.High.School.Diploma","_education_at_least_high_school","","education","%","percentage of population with education level at least highschool","@frac{@text{number of people with education level at least highschool}}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","","2009-2010","http://www.measureofamerica.org/download-agreement/"
"At.Least.Bachelor.s.Degree","education_at_least_bachelor","At Least Bachelor Degree","education","%","percentage of population with at least bachelor degree","@frac{@text{number of people with at least bachelor degree}}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Graduate.Degree","education_graduate_degree","Graduate Degree","education","%","percentage of population with graduate degree","@frac{@text{number of people with at least graduate degree}}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"School.Enrollment","education_school_enrollment","School Enrollment","education","%","percentage of school enrollment","@frac{@text{number of  actual students enrolled}}{@text{number of potential students enrolled}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","education_preschool_enrollment","Preschool Enrollment Ratio","education","%","percentage of preschool enrollment (between 3 and 4 years old)","@frac{@text{number of actual children (between 3 and 4 years old) enrolled in preschool}}{@text{number of potential children enrolled in preschool}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"dem08","elec_dem08","Democratic Votes 2008","election",NA,"number of votes for democratic party 2008","",0,NA,"","","2008","http://www.nytimes.com/elections/2008/results/president/map.html"
"rep08","elec_rep08","Republican Votes 2008","election",NA,"number of votes for republican party 2008","",0,NA,"","","2008","http://www.nytimes.com/elections/2008/results/president/map.html"
"total08","elec_total08","Total Votes 2008","election",NA,"total number of votes 2008","",0,NA,"","","2008","http://www.nytimes.com/elections/2008/results/president/map.html"
"other08","elec_other08","Other Votes 2008","election",NA,"number of votes for other party 2008","",0,NA,"","","2008","http://www.nytimes.com/elections/2008/results/president/map.html"
"dem12","elec_dem12","Democratic Votes 2012","election",NA,"number of votes for democratic party 2012","",0,NA,"","","2012","http://www.nytimes.com/elections/2012/results/president.html"
"rep12","elec_rep12","Republican Votes 2012","election",NA,"number of votes for republican party 2012","",0,NA,"","","2012","http://www.nytimes.com/elections/2012/results/president.html"
"total12","elec_total12","Total Votes 2012","election",NA,"total number of votes 2012","",0,NA,"","","2012","http://www.nytimes.com/elections/2012/results/president.html"
"other12","elec_other12","Other Votes 2012","election",NA,"number of votes for other party 2012","",0,NA,"","","2012","http://www.nytimes.com/elections/2012/results/president.html"
"votes","_elec_votes","","election",NA,"number of total votes 2016","",0,NA,"","duplicate of total16","2016","http://www.nytimes.com/elections/results/president"
"reporting","_elec_precincts_reported","","election",NA,"number of reporting precicnts","",0,NA,"","","2016","http://www.nytimes.com/elections/results/president"
"precincts","_elec_precincts","","election",NA,"number of precicnts","",0,NA,"a precinct is an electoral district of a city or town served by a single polling place","","2016","http://www.nytimes.com/elections/results/president"
"votes16_trumpd","elec_rep16","Republican Votes 2016","election",NA,"number of votes of Donald J. Trump","",0,NA,"republican party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_clintonh","elec_dem16","Democratic Votes 2016","election",NA,"number of votes of Hillary Clinton","",0,NA,"democratic party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_johnsong","_elec_votes16_johnsong","","election",NA,"number of votes of Gary Johnson","",0,NA,"libertarian party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_steinj","_elec_votes16_steinj","","election",NA,"number of votes of Jill Stein","",0,NA,"green party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_castled","_elec_votes16_castled","","election",NA,"number of votes of Darrell Castle","",0,NA,"constitution party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_de_la_fuenter","_elec_votes16_de_la_fuenter","","election",NA,"number of votes of Rocky De La Fuente","",0,NA,"independent","","2016","http://www.nytimes.com/elections/results/president"
"est_votes_remaining","elec_est_votes_remaining","Estimated No. of Remaining Votes","election",NA,"number of votes from unreported precincts in the county","",0,NA,"can be used to check which county has unreliable result","","2016","http://www.nytimes.com/elections/results/president"
"votes16_mcmulline","_elec_votes16_mcmulline","","election",NA,"number of votes of Evan McMullin","",0,NA,"independent","","2016","http://www.nytimes.com/elections/results/president"
"votes16_hedgesj","_elec_votes16_hedgesj","","election",NA,"number of votes of Jim Hedges","",0,NA,"prohibition party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_kahnl","_elec_votes16_kahnl","","election",NA,"number of votes of Lynn S. Kahn","",0,NA,"other","","2016","http://www.nytimes.com/elections/results/president"
"votes16_la_rivag","_elec_votes16_la_rivag","","election",NA,"number of votes of Gloria La Riva","",0,NA,"psl party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_hoeflingt","_elec_votes16_hoeflingt","","election",NA,"number of votes of Tom Hoefling","",0,NA,"americas-party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_kenistonc","_elec_votes16_kenistonc","","election",NA,"number of votes of Christopher Robert Keniston","",0,NA,"veterans-party-of-america party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_smithm","_elec_votes16_smithm","","election",NA,"number of votes of Mike Smith","",0,NA,"independent","","2016","http://www.nytimes.com/elections/results/president"
"votes16_atwoodf","_elec_votes16_atwoodf","","election",NA,"number of votes of Frank Atwood","",0,NA,"other","","2016","http://www.nytimes.com/elections/results/president"
"votes16_kennedya","_elec_votes16_kennedya","","election",NA,"number of votes of Alyson Kennedy","",0,NA,"socialist-workers","","2016","http://www.nytimes.com/elections/results/president"
"votes16_kopitkek","_elec_votes16_kopitkek","","election",NA,"number of votes of Kyle Kopitke","",0,NA,"independent-american party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_kotlikoffl","_elec_votes16_kotlikoffl","","election",NA,"number of votes of Bradford Lyttle","",0,NA,"pacifist party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_lyttleb","_elec_votes16_lyttleb","","election",NA,"number of votes of Laurence Kotlikoff","",0,NA,"independent","","2016","http://www.nytimes.com/elections/results/president"
"votes16_maldonadoj","_elec_votes16_maldonadoj","","election",NA,"number of votes of Joseph Maldonado","",0,NA,"independent","","2016","http://www.nytimes.com/elections/results/president"
"votes16_maturenm","_elec_votes16_maturenm","","election",NA,"number of votes of Michael A. Maturen","",0,NA,"other","","2016","http://www.nytimes.com/elections/results/president"
"votes16_scottr","_elec_votes16_scottr","","election",NA,"number of votes of Ryan Alan Scott","",0,NA,"independent","","2016","http://www.nytimes.com/elections/results/president"
"votes16_silvar","_elec_votes16_silvar","","election",NA,"number of votes of Rod Silva","",0,NA,"other","","2016","http://www.nytimes.com/elections/results/president"
"votes16_soltysike","_elec_votes16_soltysike","","election",NA,"number of votes of Emidio Soltysik","",0,NA,"socialist-usa party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_vacekd","_elec_votes16_vacekd","","election",NA,"number of votes of Dan Vacek","",0,NA,"constitution party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_copelands","_elec_votes16_copelands","","election",NA,"number of votes of Scott Copeland","",0,NA,"constitution party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_jacobp","_elec_votes16_jacobp","","election",NA,"number of votes of Princess Jacob-Fambro","",0,NA,"other","","2016","http://www.nytimes.com/elections/results/president"
"votes16_whitej","_elec_votes16_whitej","","election",NA,"number of votes of Jerry White","",0,NA,"other","","2016","http://www.nytimes.com/elections/results/president"
"votes16_mooreheadm","_elec_votes16_mooreheadm","","election",NA,"number of votes of Monica Moorehead","",0,NA,"workers-world party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_none_of_these_candidates","_elec_votes16_none_of_these_candidates","","election",NA,"number of votes of none of the listed candidates","",0,NA,"","","2016","http://www.nytimes.com/elections/results/president"
"votes16_duncanr","_elec_votes16_duncanr","","election",NA,"number of votes of Richard Duncan","",0,NA,"independent","","2016","http://www.nytimes.com/elections/results/president"
"votes16_skewesp","_elec_votes16_skewesp","","election",NA,"number of votes of Peter Skewes","",0,NA,"american-party","","2016","http://www.nytimes.com/elections/results/president"
"votes16_giordanir","_elec_votes16_giordanir","","election",NA,"number of votes of Rocky Giordani","",0,NA,"independent-american party","","2016","http://www.nytimes.com/elections/results/president"
"total16","elec_total16","Total Votes 2016","election",NA,"total number of votes 2016","",0,NA,"","","2016","http://www.nytimes.com/elections/results/president"
"rep16_frac","elec_rep16_frac","Republican Vote Fraction 2016","election",NA,"vote fraction of republican 2016","",0,1,"","","2010","Kirkegaard"
"dem16_frac","elec_dem16_frac","Democratic Vote Fraction 2016","election",NA,"vote fraction of democratic 2016","",0,1,"","","2010","Kirkegaard"
"green16_frac","_elec_green16_frac","","election",NA,"vote fraction of green 2016","",0,1,"","","2010","Kirkegaard"
"libert16_frac","_elec_libert16_frac","","election",NA,"vote fraction of libertarian 2016","",0,1,"","","2010","Kirkegaard"
"other16_frac","_elec_other16_frac","","election",NA,"vote fraction of other 2016","",0,1,"","","2010","Kirkegaard"
"rep16_frac2","_elec_rep16_frac2","","election",NA,"vote fraction of republican 2016","",0,1,"frac2 just counts rep and dem votes","","2010","Kirkegaard"
"dem16_frac2","_elec_dem16_frac2","","election",NA,"vote fraction of democratic 2016","",0,1,"frac2 just counts rep and dem votes","","2010","Kirkegaard"
"rep12_frac","elec_rep12_frac","Republican Vote Fraction 2012","election",NA,"vote fraction of republican 2012","",0,1,"","","2010","Kirkegaard"
"rep08_frac","elec_rep08_frac","Republican Vote Fraction 2008","election",NA,"vote fraction of republican 2008","",0,1,"","","2010","Kirkegaard"
"dem12_frac","elec_dem12_frac","Democratic Vote Fraction 2012","election",NA,"vote fraction of democratic 2012","",0,1,"","","2010","Kirkegaard"
"dem08_frac","elec_dem08_frac","Democratic Vote Fraction 2008","election",NA,"vote fraction of democratic 2008","",0,1,"","","2010","Kirkegaard"
"other12_frac","elec_other12_frac","Other Vote Fraction 2012","election",NA,"vote fraction of other 2012","",0,1,"","","2010","Kirkegaard"
"other08_frac","elec_other08_frac","Other Vote Fraction 2008","election",NA,"vote fraction of other 2008","",0,1,"","","2010","Kirkegaard"
"rep12_frac2","_elec_rep12_frac2","","election",NA,"vote fraction of republican 2016","",0,1,"frac2 just counts rep and dem votes","","2010","Kirkegaard"
"rep08_frac2","_elec_rep08_frac2","","election",NA,"vote fraction of republican 2016","",0,1,"frac2 just counts rep and dem votes","","2010","Kirkegaard"
"dem12_frac2","_elec_dem12_frac2","","election",NA,"vote fraction of democratic 2016","",0,1,"frac2 just counts rep and dem votes","","2010","Kirkegaard"
"dem08_frac2","_elec_dem08_frac2","","election",NA,"vote fraction of democratic 2016","",0,1,"frac2 just counts rep and dem votes","","2010","Kirkegaard"
"Children.Under.6.Living.in.Poverty","poverty_children","Children Under 6 Living in Poverty","finance","%","percentage of children under 6 living in poverty","@frac{@text{number of children under 6 living in povery}}{@text{number of children under 6}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Adults.65.and.Older.Living.in.Poverty","poverty_adult","Adults 65 and Older Living in Poverty","finance","%","percentage of adults 65 and older living in poverty","@frac{@text{number of adults 65 and older living in povery}}{@text{number of adults 65 and older}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Poverty.Rate.below.federal.poverty.threshold","poverty_below_federal_threshold","Poverty Rate","finance","%","poverty rate below federal poverty threshold","@frac{@text{number of people with income below federal poverty threshold}}{@text{total population}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Gini.Coefficient","finance_gini_coef","Gini Coefficient","finance",NA,"income inequality index","@text{formula depends on distribution of income}",0,1,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Child.Poverty.living.in.families.below.the.poverty.line","poverty_child_living_in_families","Child Poverty","finance","%","percentage of children living in families below poverty line","@frac{@text{number of children living in families below poverty line}}{@text{number of children}}@times{100}",0,100,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"Median.Earnings.2010.dollars","finance_median_earning","Median Earning","finance","dollars","median earning of individuals","",0,NA,"currently the author take the average of 2009 and 2010 data","need repair","2009-2010","http://www.measureofamerica.org/download-agreement/"
"lon","geog_longitude","Internal Point Longitude","geography","degree","internal point longitude","",NA,NA,"","","2010","http://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_SF1/G001/0100000US.05000.003"
"lat","geog_latitude","Internal Point Latitude","geography","degree","internal point latitude","",NA,NA,"","","2010","http://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_SF1/G001/0100000US.05000.003"
"elevation","geog_elevation","Elevation","geography","m","weather station elevation","",NA,NA,"","","1981-2010","https://www.ncdc.noaa.gov/cdo-web/datatools/normals"
"Poor.physical.health.days","health_poor_physiscal_health_days","Avg. No. of Physically Unhealthy Day","healthcare","day","average number of reported physically unhealthy days per month","",0,NA,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
"Poor.mental.health.days","health_poor_mental_health_days","Avg. No. of Mentally Unhealthy Day","healthcare","day","average number of reported mentally unhealthy days per month","",0,NA,"","updatable to 2016 data","2014","http://www.countyhealthrankings.org/rankings/data"
