"fips","name_16","statecode_prev","rep16_win","rep12_win","rep08_win","votes16_trumpd","rep12","rep08","votes16_clintonh","dem12","dem08","votes16_others","other12","other08","total16","total12","total08","rep16_frac","rep12_frac","rep08_frac","dem16_frac","dem12_frac","dem08_frac","other16_frac","other12_frac","other08_frac","est_votes_remaining","voting_age_population","voting_participation","voting_power","Total.Population","population_density","sex_ratio","age_dependency_ratio","median_age","White.not.Latino.Population","African.American.Population","Native.American.Population","Asian.American.Population","Population.some.other.race.or.races","Latino.Population","SIRE_homogeneity","Gini.Coefficient","Median.Earnings.2010.dollars","Children.Under.6.Living.in.Poverty","Child.Poverty.living.in.families.below.the.poverty.line","Adults.65.and.Older.Living.in.Poverty","Poverty.Rate.below.federal.poverty.threshold","Unemployment","Management.professional.and.related.occupations","Service.occupations","Sales.and.office.occupations","Farming.fishing.and.forestry.occupations","Construction.extraction.maintenance.and.repair.occupations","Production.transportation.and.material.moving.occupations","School.Enrollment","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Less.Than.High.School","At.Least.Bachelor.s.Degree","Graduate.Degree","life_expectancy","Infant.mortality","Injury.deaths","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Violent.crime","Homicide.rate","winter_PRCP","winter_TAVG"
1001,"Autauga","1",TRUE,TRUE,TRUE,18110,17379,17403,5908,6363,6093,643,231,145,24661,23973,23641,0.73435789302948,0.724940558127894,0.736136373249862,0.239568549531649,0.265423601551746,0.257730214457933,0.0260735574388711,0.00963584032036041,0.00613341229220422,0,40725,58.865561694291,0.104012460842929,55221,35.8675212030467,93.9,63.9,37.7,77.2,17.6,0.4,0.9,1.5,2.4,0.63346775,0.405,29949,21.3,14.5,8.6,10.6,0.059,29.3,16.9,29.1,0.5,11,13.1,78.9,42.3,14.7,21.7,7.1,75.9744301186178,7.1,76.4,4.4,4.3,0.09,35.2,0.273,0.187,0.309,0.109,416.1,205.407,0.134,253.64,5.1,NA,NA
1003,"Baldwin","1",TRUE,TRUE,TRUE,72780,66016,61271,18409,18424,19386,2901,1051,756,94090,85491,81413,0.773514719948985,0.772198243089916,0.752594794443148,0.195653098097566,0.215508065176451,0.238119219289303,0.0308321819534489,0.0122936917336328,0.00928598626754941,0,147695,57.8834760824672,0.370922675089595,195121,47.3879722886535,95.5,68.1,42.2,83.5,9.3,0.6,0.7,1.4,4.4,0.721336,0.439,26775,20.2,18.8,5.4,12.2,0.061,31.5,17.6,26.9,1,12.5,10.6,75.2,43,12.4,26.8,8.7,77.5687723785166,5.9,70.2,4.1,4.2,0.09,41.6,0.282,0.186,0.267,0.109,308.2,174.325,0.175,220.67,3.8,NA,51.3
1005,"Barbour","1",TRUE,FALSE,TRUE,5431,5550,5866,4848,5912,5697,111,55,67,10390,11517,11630,0.522714148219442,0.481896327168533,0.504385210662081,0.46660250240616,0.51332812364331,0.489853826311264,0.0106833493743981,0.00477554918815664,0.0057609630266552,0,20714,55.6000772424447,0.0499691949913659,26932,11.7513644733915,116.6,59.7,38.8,46.8,46.7,0.2,0.4,0.9,5.1,0.4432095,0.464,20335,37.1,33.9,20.2,25,0.108,26.6,15.7,21.3,1.9,8.4,26.1,69,32.5,28.1,13.5,6,74.8669806094183,13,63.7,4.9,4.7,0.12,67.9,0.545,0.214,0.408,0.153,632.3,399.427,0.174,146.89,4.5,NA,47
1007,"Bibb","1",TRUE,TRUE,TRUE,6733,6132,6262,1874,2202,2299,141,86,83,8748,8420,8644,0.769661636945588,0.728266033254157,0.724433132808885,0.214220393232739,0.261520190023753,0.265964831096714,0.016117969821673,0.0102137767220903,0.00960203609440074,0,17495,48.1280365818805,0.0365321369998525,22604,14.0181515055557,114.6,56.6,38.9,75,21.9,0.3,0.1,0.9,1.8,0.6163535,0.411,26902,24,18.4,11.3,12.6,0.071,20.1,13.2,22.9,0.6,18,25.3,65.2,20.9,25.5,10,2.6,74.3329077353215,14,74.7,4.8,4.6,0.12,48.4,0.32,0.21,0.401,0.125,367.3,124.837,0.15,235.95,7.4,16.255,NA
1009,"Blount","1",TRUE,TRUE,TRUE,22808,20757,20389,2150,2970,3522,426,333,356,25384,24060,24267,0.898518751969745,0.862718204488778,0.840194502822763,0.0846990230066183,0.123441396508728,0.145135369019656,0.0167822250236367,0.0138403990024938,0.0146701281575803,0,42345,56.8189868933758,0.104389930667037,57710,34.55767557038,97.7,67.2,40.7,88.9,1.3,0.5,0.2,1.1,8.1,0.8010005,0.422,28186,21.2,18.2,10.9,13.4,0.061,24.7,16,25.6,1.3,14.5,17.9,72.9,29,25.3,12.5,4.2,75.8481234193222,6,88.5,4.6,4.5,0.07,45.3,0.283,0.194,0.324,0.117,159.1,93.727,0.176,219.03,3.3,15.455,NA
1011,"Bullock","1",FALSE,FALSE,FALSE,1139,1251,1391,3530,4061,4011,32,10,13,4701,5322,5415,0.242288874707509,0.235062006764374,0.256879039704524,0.750904062965327,0.763059000375799,0.740720221606648,0.00680706232716399,0.00187899285982713,0.00240073868882733,0,8057,66.0543626660047,0.0230907402747286,10678,6.61972926491394,112.8,55.1,39.3,21.9,70,0.2,0.2,0.6,7.1,0.57575025,0.533,21267,51.5,48.8,17,25.3,0.091,21.2,15.5,24.3,5.2,6.6,27.2,67.8,51.6,25.3,12,3.7,72.0666917293233,NA,89.6,5.3,4.8,0.14,83.5,0.725,0.223,0.445,0.173,992.9,368.304,0.185,283.35,NA,13.775,NA
1013,"Butler","1",TRUE,TRUE,TRUE,4891,5087,5485,3716,4374,4188,78,41,36,8685,9502,9709,0.563154864709269,0.535360976636498,0.564939746626841,0.427864133563615,0.460324142285835,0.431352353486456,0.00898100172711591,0.00431488107766786,0.00370789988670306,0,15581,60.9845324433605,0.0412266467663418,20354,10.1164183647926,87.6,69.6,40.5,54.1,43.2,0.3,0.8,0.7,0.9,0.48558375,0.463,22073,33,32.5,22.7,25,0.086,22.2,17.8,26.1,2,9.3,22.7,74.6,34,25.2,11,3.2,73.442473347548,NA,79.6,5.3,5.1,0.11,56.6,0.523,0.228,0.36,0.162,773.1,241.959,0.155,483.04,10.2,14.79,47.3
1015,"Calhoun","1",TRUE,TRUE,TRUE,32803,30278,32348,13197,15511,16334,1376,575,560,47376,46364,49242,0.692396994258696,0.653049780001725,0.656918890378132,0.278558763931104,0.334548356483479,0.331708703951911,0.0290442418101999,0.012401863514796,0.0113724056699565,0,88612,52.32248453934,0.201161045114152,116648,74.3364413306752,93.2,60.9,39.1,73.6,20.4,0.4,0.7,1.6,3.3,0.597948,0.453,24098,30.6,26.8,10.9,19.5,0.079,27.7,16.1,23.7,0.5,11.4,20.6,74.3,37.7,21.5,16.1,6.4,73.2120082815735,8,72.7,4.9,4.9,0.09,47.2,0.4,0.238,0.32,0.126,680.3,201.955,0.16,504.52,10.8,13.96,NA
1017,"Chambers","1",TRUE,TRUE,TRUE,7803,7626,8067,5763,6871,6799,212,132,90,13778,14629,14956,0.566337639715488,0.521293321484722,0.539382187750736,0.418275511685295,0.469683505366054,0.454600160470714,0.015386848599217,0.00902317314922414,0.00601765177855041,0,26462,55.2830473887083,0.0634713339870359,34079,22.0574726618374,91.2,65.5,43,58.1,38.6,0.2,0.5,1,1.6,0.49186725,0.425,22715,35,30.2,15.7,20.3,0.067,23.5,14,25.7,0.5,13.3,23,75.5,63.2,28.2,10.8,3.7,73.1011715481172,9.3,77.3,5.1,4.9,0.12,60.7,0.538,0.208,0.398,0.153,901.2,363.775,0.168,553.46,9.9,14.51,44.6
1019,"Cherokee","1",TRUE,TRUE,TRUE,8809,7506,7298,1524,2132,2306,170,154,141,10503,9792,9745,0.838712748738456,0.766544117647059,0.748896870189841,0.145101399600114,0.217728758169935,0.236634171369933,0.0161858516614299,0.0157271241830065,0.0144689584402258,0,20600,47.5339805825243,0.0424848795133676,26008,18.1357200528525,99.6,67.7,45.4,92.1,4.6,0.5,0.2,1.4,1.2,0.8492775,0.439,26873,22.8,27.3,9.4,17.6,0.059,25.2,15.2,20.2,0.9,13.1,25.5,67.7,24.2,26.6,10.5,4.2,74.6451503006012,NA,90.7,4.6,4.7,0.09,49.8,0.315,0.198,0.327,0.125,222.9,130.261,0.164,374.37,NA,14.7,NA
