"elec_rep16_win","fips_state","elec_rep12_win","elec_voting_participation","elec_voting_power","demo_sex_ratio","demo_population_density","demo_median_age","demo_age_dependency_ratio","population_white","population_african_american","population_native","population_asian","population_other","population_latino","population_homnogenity_index","finance_gini_coef","finance_median_earning","poverty_children","poverty_child_living_in_families","poverty_below_federal_threshold","poverty_adult","demo_unemployment","occupation_management","occupation_service","occupation_sale","occupation_agriculture","occupcation_maintainance","occupation_transportation","education_less_than_high_school","education_at_least_bachelor","education_graduate_degree","education_school_enrollment","education_preschool_enrollment","demo_uninsured","healthcare_life_expectancy","health_infant_mortality","health_hiv","health_sti","health_poor_physiscal_health_days","health_poor_mental_health_days","health_children_with_single_parent","health_adult_smoking","health_adult_obesity","health_diabetes","health_low_birth_weight","health_teen_birth","health_injury","demo_violent_crime","demo_homicide","weather_winter_prcp","weather_winter_tavg"
TRUE,"1",TRUE,58.865561694291,0.104012460842929,93.9,35.8675212030467,37.7,63.9,77.2,17.6,0.4,0.9,1.5,2.4,0.63346775,0.405,29949,21.3,14.5,10.6,8.6,0.059,29.3,16.9,29.1,0.5,11,13.1,14.7,21.7,7.1,78.9,42.3,0.134,75.9744301186178,7.1,205.407,416.1,4.4,4.3,0.273,0.187,0.309,0.109,0.09,35.2,76.4,253.64,5.1,14.3272222222222,48.4
TRUE,"1",TRUE,57.8834760824672,0.370922675089595,95.5,47.3879722886535,42.2,68.1,83.5,9.3,0.6,0.7,1.4,4.4,0.721336,0.439,26775,20.2,18.8,12.2,5.4,0.061,31.5,17.6,26.9,1,12.5,10.6,12.4,26.8,8.7,75.2,43,0.175,77.5687723785166,5.9,174.325,308.2,4.1,4.2,0.282,0.186,0.267,0.109,0.09,41.6,70.2,220.67,3.8,14.72,51.3
TRUE,"1",FALSE,55.6000772424447,0.0499691949913659,116.6,11.7513644733915,38.8,59.7,46.8,46.7,0.2,0.4,0.9,5.1,0.4432095,0.464,20335,37.1,33.9,25,20.2,0.108,26.6,15.7,21.3,1.9,8.4,26.1,28.1,13.5,6,69,32.5,0.174,74.8669806094183,13,399.427,632.3,4.9,4.7,0.545,0.214,0.408,0.153,0.12,67.9,63.7,146.89,4.5,13.946,47
TRUE,"1",TRUE,48.1280365818805,0.0365321369998525,114.6,14.0181515055557,38.9,56.6,75,21.9,0.3,0.1,0.9,1.8,0.6163535,0.411,26902,24,18.4,12.6,11.3,0.071,20.1,13.2,22.9,0.6,18,25.3,25.5,10,2.6,65.2,20.9,0.15,74.3329077353215,14,124.837,367.3,4.8,4.6,0.32,0.21,0.401,0.125,0.12,48.4,74.7,235.95,7.4,16.255,44.8
TRUE,"1",TRUE,56.8189868933758,0.104389930667037,97.7,34.55767557038,40.7,67.2,88.9,1.3,0.5,0.2,1.1,8.1,0.8010005,0.422,28186,21.2,18.2,13.4,10.9,0.061,24.7,16,25.6,1.3,14.5,17.9,25.3,12.5,4.2,72.9,29,0.176,75.8481234193222,6,93.727,159.1,4.6,4.5,0.283,0.194,0.324,0.117,0.07,45.3,88.5,219.03,3.3,15.455,43.55
FALSE,"1",FALSE,66.0543626660047,0.0230907402747286,112.8,6.61972926491394,39.3,55.1,21.9,70,0.2,0.2,0.6,7.1,0.57575025,0.533,21267,51.5,48.8,25.3,17,0.091,21.2,15.5,24.3,5.2,6.6,27.2,25.3,12,3.7,67.8,51.6,0.185,72.0666917293233,9.26281635301752,368.304,992.9,5.3,4.8,0.725,0.223,0.445,0.173,0.14,83.5,89.6,283.35,9.10615043400437,13.775,47.7333333333333
TRUE,"1",TRUE,60.9845324433605,0.0412266467663418,87.6,10.1164183647926,40.5,69.6,54.1,43.2,0.3,0.8,0.7,0.9,0.48558375,0.463,22073,33,32.5,25,22.7,0.086,22.2,17.8,26.1,2,9.3,22.7,25.2,11,3.2,74.6,34,0.155,73.442473347548,10.7985074626866,241.959,773.1,5.3,5.1,0.523,0.228,0.36,0.162,0.11,56.6,79.6,483.04,10.2,14.79,47.3
TRUE,"1",TRUE,52.32248453934,0.201161045114152,93.2,74.3364413306752,39.1,60.9,73.6,20.4,0.4,0.7,1.6,3.3,0.597948,0.453,24098,30.6,26.8,19.5,10.9,0.079,27.7,16.1,23.7,0.5,11.4,20.6,21.5,16.1,6.4,74.3,37.7,0.16,73.2120082815735,8,201.955,680.3,4.9,4.9,0.4,0.238,0.32,0.126,0.09,47.2,72.7,504.52,10.8,13.96,42.8
TRUE,"1",TRUE,55.2830473887083,0.0634713339870359,91.2,22.0574726618374,43,65.5,58.1,38.6,0.2,0.5,1,1.6,0.49186725,0.425,22715,35,30.2,20.3,15.7,0.067,23.5,14,25.7,0.5,13.3,23,28.2,10.8,3.7,75.5,63.2,0.168,73.1011715481172,9.3,363.775,901.2,5.1,4.9,0.538,0.208,0.398,0.153,0.12,60.7,77.3,553.46,9.9,14.51,44.6
TRUE,"1",TRUE,47.5339805825243,0.0424848795133676,99.6,18.1357200528525,45.4,67.7,92.1,4.6,0.5,0.2,1.4,1.2,0.8492775,0.439,26873,22.8,27.3,17.6,9.4,0.059,25.2,15.2,20.2,0.9,13.1,25.5,26.6,10.5,4.2,67.7,24.2,0.164,74.6451503006012,9.26281635301752,130.261,222.9,4.6,4.7,0.315,0.198,0.327,0.125,0.09,49.8,90.7,374.37,9.10615043400437,14.7,41.94
