"name","var_name","display_name","category","unit","meaning","formula_latex","lbound","ubound","remark","status","year","source"
"rep16_win","elec_rep16_win","Republican Win 2016","election",NA,"indicate whether Republican party win the county in 2016 election or not","",NA,NA,"",NA,"2016","http://www.nytimes.com/elections/results/president"
"statecode_prev","fips_state","FIPS State Code","administration",NA,"FIPS previous state code","",NA,NA,"used for matching data between the NYT datasets",NA,"2010","http://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_SF1/G001/0100000US.05000.003"
"rep12_win","elec_rep12_win","Republican Win 2012","election",NA,"indicate whether Republican party win the county in 2012 election or not","",NA,NA,"",NA,"2012","http://www.nytimes.com/elections/2012/results/president.html"
"voting_participation","elec_voting_participation","Voting Participation Rate","election","%","percentage of population participated in the voting","@frac{@text{total number of votes in 2012}}{@text{total voting-population 2015}}@times{100}",0,100,"cannot use 2016 results to calculate this because we are trying to predict the result",NA,"2012","http://www.nytimes.com/elections/2012/results/president.html"
"voting_power","elec_voting_power","Voting Power","election",NA,"the power of each vote that counts towards the final vote of each state","@frac{@text{state electoral votes } @times @text{ total number of votes of the county}}{@text{total number of votes of the state}}",0,NA,"",NA,"2000-2016","http://psephos.adam-carr.net/countries/u/usa/pres/2000.txt"
"sex_ratio","demo_sex_ratio","Sex Ratio","demographics",NA,"number of males per 100 females","@frac{@text{number of males in the population}}{@text{number of females in the population}}@times{100}",0,NA,"",NA,"2015","https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_S0101&prodType=table"
"population_density","demo_population_density","Population Density","demographics","per km^2","population density","@frac{@text{total population}}{@text{total land area}}",0,NA,"",NA,"2015","http://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_SF1/G001/0100000US.05000.003"
"median_age","demo_median_age","Median Age","demographics","year","median age","",0,NA,"",NA,"2015","https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_S0101&prodType=table"
"age_dependency_ratio","demo_age_dependency_ratio","Age Dependency Ratio","demographics","%","number of dependents, aged zero to 14 and over the age of 65, to the total population, aged 15 to 64","@frac{@text{number of people not in working age}}{@text{number of people in working age}}@times{100}",0,NA,"",NA,"2015","https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_S0101&prodType=table"
"White.not.Latino.Population","population_white","White not Latino Population","race","%","percentage of  populaton identified themselves as white not latino","@frac{@text{number of people who idenfitied themselves as white (non-latino)}}{@text{total population}}@times{100}",0,100,"",NA,"2010","http://www.measureofamerica.org/download-agreement/"
