"feature.1","feature.2","correlation","p_value"
"Total Votes 2012","Total Votes 2008",0.999035026436444,0
"Democratic Votes 2012","Democratic Votes 2008",0.998718417547363,0
"Republican Vote Fraction 2012","Democratic Vote Fraction 2012",-0.998102531564492,0
"Republican Vote Fraction 2008","Democratic Vote Fraction 2008",-0.998090910119816,0
"Republican Votes 2012","Republican Votes 2008",0.997534157602595,0
"Voting Age Population","Population",0.996381900630772,0
"Total Votes 2016","Total Votes 2012",0.99427683216649,0
"Democratic Votes 2016","Democratic Votes 2012",0.993729926644547,0
"Total Votes 2016","Total Votes 2008",0.992354544631191,0
"Democratic Votes 2016","Democratic Votes 2008",0.992189263024179,0
"Total Votes 2008","Voting Age Population",0.991867631755645,0
"Total Votes 2012","Voting Age Population",0.991103703550636,0
"Voting Age Population","Voting Power",0.98702040309235,0
"Republican Votes 2016","Republican Votes 2012",0.985446700949615,0
"Total Votes 2012","Voting Power",0.984041833592804,0
"Total Votes 2016","Voting Age Population",0.983824206505563,0
"Republican Vote Fraction 2016","Democratic Vote Fraction 2016",-0.983439553838373,0
"Total Votes 2008","Voting Power",0.983243670647393,0
"Democratic Votes 2008","Total Votes 2008",0.982334146443156,0
"Republican Votes 2016","Republican Votes 2008",0.982094727462334,0
"Republican Vote Fraction 2012","Democratic Vote Fraction 2008",-0.981799624876928,0
"Total Votes 2008","Population",0.981455255998828,0
"Democratic Votes 2012","Total Votes 2008",0.981438709649463,0
"Total Votes 2012","Population",0.980625428231213,0
"Voting Power","Population",0.980155360653606,0
"Democratic Vote Fraction 2012","Democratic Vote Fraction 2008",0.979757930426718,0
"Democratic Votes 2016","Total Votes 2008",0.979684322229883,0
"Democratic Votes 2012","Total Votes 2012",0.979537144598435,0
"Democratic Votes 2016","Total Votes 2012",0.979201545635784,0
"Republican Vote Fraction 2012","Republican Vote Fraction 2008",0.978810662652805,0
"Democratic Votes 2008","Total Votes 2012",0.978737032343553,0
"Democratic Votes 2016","Total Votes 2016",0.977734403945471,0
"Other Votes 2012","Other Votes 2008",0.977545920662346,0
"Total Votes 2016","Voting Power",0.976873502013338,0
"Republican Vote Fraction 2008","Democratic Vote Fraction 2012",-0.973880893268995,0
"Democratic Votes 2012","Voting Age Population",0.97146824131271,0
"Democratic Votes 2008","Voting Age Population",0.971273795324557,0
"Total Votes 2016","Population",0.97121134249816,0
"Democratic Votes 2016","Voting Age Population",0.970209759494276,0
"Democratic Votes 2012","Total Votes 2016",0.967774522042523,0
"Democratic Votes 2008","Total Votes 2016",0.967119432033445,0
"Democratic Votes 2012","Population",0.964377420834897,0
"Democratic Votes 2008","Population",0.963186996824229,0
"Democratic Votes 2016","Population",0.962970877990793,0
