"name","type","preview"
"fips","factor","1001, 1003, 1005, 1007, 1009, 1011, 1013, 1015, 1017, 1019 ..."
"name_16","character","Autauga, Baldwin, Barbour, Bibb, Blount, Bullock, Butler, Calhoun, Chambers, Cherokee ..."
"statecode_prev","factor","1, 1, 1, 1, 1, 1, 1, 1, 1, 1 ..."
"rep16_win","logical","TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, TRUE, TRUE, TRUE, TRUE ..."
"rep12_win","logical","TRUE, TRUE, FALSE, TRUE, TRUE, FALSE, TRUE, TRUE, TRUE, TRUE ..."
"rep08_win","logical","TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, TRUE, TRUE, TRUE, TRUE ..."
"votes16_trumpd","integer","18110, 72780, 5431, 6733, 22808, 1139, 4891, 32803, 7803, 8809 ..."
"rep12","integer","17379, 66016, 5550, 6132, 20757, 1251, 5087, 30278, 7626, 7506 ..."
"rep08","integer","17403, 61271, 5866, 6262, 20389, 1391, 5485, 32348, 8067, 7298 ..."
"votes16_clintonh","integer","5908, 18409, 4848, 1874, 2150, 3530, 3716, 13197, 5763, 1524 ..."
"dem12","integer","6363, 18424, 5912, 2202, 2970, 4061, 4374, 15511, 6871, 2132 ..."
"dem08","integer","6093, 19386, 5697, 2299, 3522, 4011, 4188, 16334, 6799, 2306 ..."
"votes16_others","integer","643, 2901, 111, 141, 426, 32, 78, 1376, 212, 170 ..."
"other12","integer","231, 1051, 55, 86, 333, 10, 41, 575, 132, 154 ..."
"other08","integer","145, 756, 67, 83, 356, 13, 36, 560, 90, 141 ..."
"total16","integer","24661, 94090, 10390, 8748, 25384, 4701, 8685, 47376, 13778, 10503 ..."
"total12","integer","23973, 85491, 11517, 8420, 24060, 5322, 9502, 46364, 14629, 9792 ..."
"total08","integer","23641, 81413, 11630, 8644, 24267, 5415, 9709, 49242, 14956, 9745 ..."
"rep16_frac","numeric","0.73435789302948, 0.773514719948985, 0.522714148219442, 0.769661636945588, 0.898518751969745, 0.242288874707509, 0.563154864709269, 0.692396994258696, 0.566337639715488, 0.838712748738456 ..."
"rep12_frac","numeric","0.724940558127894, 0.772198243089916, 0.481896327168533, 0.728266033254157, 0.862718204488778, 0.235062006764374, 0.535360976636498, 0.653049780001725, 0.521293321484722, 0.766544117647059 ..."
"rep08_frac","numeric","0.736136373249862, 0.752594794443148, 0.504385210662081, 0.724433132808885, 0.840194502822763, 0.256879039704524, 0.564939746626841, 0.656918890378132, 0.539382187750736, 0.748896870189841 ..."
"dem16_frac","numeric","0.239568549531649, 0.195653098097566, 0.46660250240616, 0.214220393232739, 0.0846990230066183, 0.750904062965327, 0.427864133563615, 0.278558763931104, 0.418275511685295, 0.145101399600114 ..."
"dem12_frac","numeric","0.265423601551746, 0.215508065176451, 0.51332812364331, 0.261520190023753, 0.123441396508728, 0.763059000375799, 0.460324142285835, 0.334548356483479, 0.469683505366054, 0.217728758169935 ..."
"dem08_frac","numeric","0.257730214457933, 0.238119219289303, 0.489853826311264, 0.265964831096714, 0.145135369019656, 0.740720221606648, 0.431352353486456, 0.331708703951911, 0.454600160470714, 0.236634171369933 ..."
"other16_frac","numeric","0.0260735574388711, 0.0308321819534489, 0.0106833493743981, 0.016117969821673, 0.0167822250236367, 0.00680706232716399, 0.00898100172711591, 0.0290442418101999, 0.015386848599217, 0.0161858516614299 ..."
"other12_frac","numeric","0.00963584032036041, 0.0122936917336328, 0.00477554918815664, 0.0102137767220903, 0.0138403990024938, 0.00187899285982713, 0.00431488107766786, 0.012401863514796, 0.00902317314922414, 0.0157271241830065 ..."
"other08_frac","numeric","0.00613341229220422, 0.00928598626754941, 0.0057609630266552, 0.00960203609440074, 0.0146701281575803, 0.00240073868882733, 0.00370789988670306, 0.0113724056699565, 0.00601765177855041, 0.0144689584402258 ..."
"est_votes_remaining","integer","0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ..."
"voting_age_population","integer","40725, 147695, 20714, 17495, 42345, 8057, 15581, 88612, 26462, 20600 ..."
"voting_participation","numeric","58.865561694291, 57.8834760824672, 55.6000772424447, 48.1280365818805, 56.8189868933758, 66.0543626660047, 60.9845324433605, 52.32248453934, 55.2830473887083, 47.5339805825243 ..."
"voting_power","numeric","0.104012460842929, 0.370922675089595, 0.0499691949913659, 0.0365321369998525, 0.104389930667037, 0.0230907402747286, 0.0412266467663418, 0.201161045114152, 0.0634713339870359, 0.0424848795133676 ..."
"Total.Population","integer","55221, 195121, 26932, 22604, 57710, 10678, 20354, 116648, 34079, 26008 ..."
"population_density","numeric","35.8675212030467, 47.3879722886535, 11.7513644733915, 14.0181515055557, 34.55767557038, 6.61972926491394, 10.1164183647926, 74.3364413306752, 22.0574726618374, 18.1357200528525 ..."
"sex_ratio","numeric","93.9, 95.5, 116.6, 114.6, 97.7, 112.8, 87.6, 93.2, 91.2, 99.6 ..."
"age_dependency_ratio","numeric","63.9, 68.1, 59.7, 56.6, 67.2, 55.1, 69.6, 60.9, 65.5, 67.7 ..."
"median_age","numeric","37.7, 42.2, 38.8, 38.9, 40.7, 39.3, 40.5, 39.1, 43, 45.4 ..."
"White.not.Latino.Population","numeric","77.2, 83.5, 46.8, 75, 88.9, 21.9, 54.1, 73.6, 58.1, 92.1 ..."
"African.American.Population","numeric","17.6, 9.3, 46.7, 21.9, 1.3, 70, 43.2, 20.4, 38.6, 4.6 ..."
"Native.American.Population","numeric","0.4, 0.6, 0.2, 0.3, 0.5, 0.2, 0.3, 0.4, 0.2, 0.5 ..."
"Asian.American.Population","numeric","0.9, 0.7, 0.4, 0.1, 0.2, 0.2, 0.8, 0.7, 0.5, 0.2 ..."
"Population.some.other.race.or.races","numeric","1.5, 1.4, 0.9, 0.9, 1.1, 0.6, 0.7, 1.6, 1, 1.4 ..."
"Latino.Population","numeric","2.4, 4.4, 5.1, 1.8, 8.1, 7.1, 0.9, 3.3, 1.6, 1.2 ..."
"SIRE_homogeneity","numeric","0.63346775, 0.721336, 0.4432095, 0.6163535, 0.8010005, 0.57575025, 0.48558375, 0.597948, 0.49186725, 0.8492775 ..."
"Gini.Coefficient","numeric","0.405, 0.439, 0.464, 0.411, 0.422, 0.533, 0.463, 0.453, 0.425, 0.439 ..."
"Median.Earnings.2010.dollars","integer","29949, 26775, 20335, 26902, 28186, 21267, 22073, 24098, 22715, 26873 ..."
"Children.Under.6.Living.in.Poverty","numeric","21.3, 20.2, 37.1, 24, 21.2, 51.5, 33, 30.6, 35, 22.8 ..."
"Child.Poverty.living.in.families.below.the.poverty.line","numeric","14.5, 18.8, 33.9, 18.4, 18.2, 48.8, 32.5, 26.8, 30.2, 27.3 ..."
