"name","accuracy.full","kappa.full","accuracy.1","kappa.1"
"demo_age_dependency_ratio",8,9,6,11
"demo_homicide",8,8,11,8
"demo_median_age",7,10,9,9
"demo_population_density",7,9,13,8
"demo_sex_ratio",8,8,7,6
"demo_unemployment",9,10,6,4
"demo_uninsured",9,7,9,7
"demo_violent_crime",7,7,7,9
"education_at_least_bachelor",9,9,8,8
"education_graduate_degree",10,9,10,17
"education_less_than_high_school",6,9,7,8
"education_preschool_enrollment",9,7,8,9
"education_school_enrollment",7,8,8,6
"elec_rep12_win",20,20,NA,NA
"elec_voting_participation",8,8,10,6
"elec_voting_power",7,9,8,7
"finance_gini_coef",8,7,6,8
"finance_median_earning",5,7,6,8
"fips_state",7,6,6,8
"health_adult_obesity",8,8,6,11
"health_adult_smoking",11,6,8,6
"health_children_with_single_parent",7,8,8,8
"health_diabetes",8,8,10,6
"health_hiv",8,7,5,6
"health_infant_mortality",10,7,10,7
"health_injury",7,11,7,8
"health_low_birth_weight",9,8,9,7
"health_poor_mental_health_days",7,8,8,8
"health_poor_physiscal_health_days",10,9,8,6
"health_sti",10,11,6,9
"health_teen_birth",8,7,6,7
"healthcare_life_expectancy",7,7,7,9
"occupation_agriculture",5,10,8,9
"occupation_management",9,7,8,6
"occupation_sale",7,9,7,6
"occupation_service",9,7,8,8
"occupation_transportation",12,13,8,11
"occupcation_maintainance",7,7,12,7
"population_african_american",9,7,15,8
"population_asian",9,5,8,9
"population_homnogenity_index",8,7,9,8
"population_latino",6,8,10,11
"population_native",9,7,6,9
"population_other",7,8,8,8
"population_white",9,15,13,20
"poverty_adult",6,8,7,7
"poverty_below_federal_threshold",8,6,8,7
"poverty_child_living_in_families",9,7,9,7
"poverty_children",7,9,8,7
"weather_winter_prcp",8,7,10,8
"weather_winter_tavg",9,8,8,6
