"name","type","mean","sd","median","lquartile","uquartile","iqr","min","max","n","missing","missing_percent","entropy"
"elec_voting_participation","double","57.96593","9.489417","58.00539","51.39446","64.37294","12.97848","17.10677","100","3110","0","0","11.59924"
"elec_voting_power","double","0.1720046","0.4846682","0.04624898","0.02225123","0.122895","0.1006438","0.0003042338","13.41857","3110","0","0","11.59562"
"demo_sex_ratio","double","100.5998","11.62062","98.2","95.5","101.9","6.4","68.3","273.4","3110","0","0","7.859798"
"demo_population_density","double","103.768","690.3465","17.56959","6.753056","45.13673","38.38368","0.06753216","27559.89","3110","0","0","11.6027"
"demo_median_age","double","40.92071","5.246897","41","37.7","43.9","6.2","21.4","65.3","3110","0","0","7.659518"
"demo_age_dependency_ratio","double","67.06595","10.43385","66.7","60.9","72.875","11.975","27.1","141.8","3110","0","0","8.494829"
"population_white","double","78.59322","19.57055","85.9","67.225","94.275","27.05","2.9","99.2","3110","0","0","8.802605"
"population_african_american","double","8.823505","14.4739","1.9","0.4","10","9.6","0","85.4","3110","0","0","7.030155"
"population_native","double","1.559743","6.288969","0.3","0.2","0.6","0.4","0","86.3","3110","0","0","3.981229"
"population_asian","double","1.099421","2.316145","0.5","0.3","1","0.7","0","43","3110","0","0","4.483842"
"population_other","double","1.590032","1.45477","1.3","0.9","1.8","0.9","0","35","3110","0","0","4.875631"
"population_latino","double","8.334084","13.24815","3.3","1.6","8.3","6.7","0","95.7","3110","0","0","7.279565"
"population_homnogenity_index","double","0.7194965","0.1843586","0.7596337","0.5457223","0.891917","0.3461947","0.2403985","0.9840842","3110","0","0","11.59948"
"finance_gini_coef","double","0.4317653","0.03646094","0.43","0.407","0.454","0.047","0.207","0.645","3110","0","0","7.14131"
"finance_median_earning","double","25494.5","5060.827","24947","22300","27470.5","5170.5","5559","59672","3110","0","0","11.40202"
"poverty_children","double","25.27865","12.29578","24.1","16.6","32.2","15.6","0","100","3110","0","0","8.701066"
"poverty_child_living_in_families","double","21.3946","9.757515","20.5","14.3","26.9","12.6","0","64.6","3110","0","0","8.433801"
"poverty_below_federal_threshold","double","15.51621","6.334626","14.7","11","19","8","0","49.3","3110","0","0","7.819594"
"poverty_adult","double","11.20897","5.294971","10","7.5","13.7","6.2","0","47.4","3110","0","0","7.456939"
"demo_unemployment","double","0.06229132","0.02234691","0.06","0.047","0.075","0.028","0.012","0.236","3110","0","0","6.384083"
"occupation_management","double","30.05289","6.521278","29","25.7","33.3","7.6","11.1","67.3","3110","0","0","7.834417"
"occupation_service","double","17.54334","3.572658","17.2","15.3","19.2","3.9","0","38.5","3110","0","0","7.036556"
"occupation_sale","double","22.81363","3.512934","23","20.7","25.3","4.6","0","39","3110","0","0","7.063539"
"occupation_agriculture","double","2.102605","2.605859","1.2","0.5","2.7","2.2","0","38.3","3110","0","0","5.777849"
"occupcation_maintainance","double","11.40289","3.434642","11","9.1","13.175","4.075","1.8","30","3110","0","0","6.982626"
