"feature.1","feature.2","correlation","p_value"
"Child Poverty","Poverty Rate",0.922724379640054,0
"At Least Bachelor Degree","Graduate Degree",0.920730665072643,0
"Avg. No. of Physically Unhealthy Day","Avg. No. of Mentally Unhealthy Day",0.918326695572952,0
"Children Under 6 Living in Poverty","Child Poverty",0.886057292086484,0
"White not Latino Population","Homogeneity Index",0.854273497947401,0
"Children Under 6 Living in Poverty","Poverty Rate",0.817953596929924,0
"Avg. No. of Physically Unhealthy Day","Adult Smoking Rate",0.795552775577192,0
"Management, Professional, and Related Occupations","At Least Bachelor Degree",0.789766843620344,0
"Republican Win 2016","Republican Win 2012",0.769398677780605,0
"Poverty Rate","Avg. No. of Physically Unhealthy Day",0.758548438792928,0
"Life Expectancy","Avg. No. of Physically Unhealthy Day",-0.746145209107994,0
"Avg. No. of Mentally Unhealthy Day","Adult Smoking Rate",0.742209511614798,0
"Avg. No. of Physically Unhealthy Day","Diabetes Rate",0.733160168327365,0
"Child Poverty","Diabetes Rate",0.721881838169813,0
"Child Poverty","Avg. No. of Physically Unhealthy Day",0.71707179207697,0
"Less Than High School","Teen Birth Rate",0.709376336004915,0
"Life Expectancy","Adult Smoking Rate",-0.695682318915675,0
"Management, Professional, and Related Occupations","Graduate Degree",0.694679271470919,0
"Poverty Rate","Adults 65 and Older Living in Poverty",0.693546488037881,0
"Life Expectancy","Avg. No. of Mentally Unhealthy Day",-0.688293732332981,0
"Poverty Rate","Less Than High School",0.686883407778195,0
"Poverty Rate","Diabetes Rate",0.686782367282528,0
"Life Expectancy","Teen Birth Rate",-0.686235510340624,0
"Life Expectancy","Diabetes Rate",-0.680567168041376,0
"Less Than High School","Avg. No. of Physically Unhealthy Day",0.679050833184313,0
"Less Than High School","Diabetes Rate",0.678797146771007,0
"African American Population","Low Birth Weight Rate",0.674233302666066,0
"White not Latino Population","Sexually Transmitted Infections Rate",-0.664428716666405,0
"Unemployment Rate","Avg. No. of Mentally Unhealthy Day",0.663946925628796,0
"African American Population","Children in Single Parent Households Rate",0.662078566563548,0
"Child Poverty","Teen Birth Rate",0.661789840989877,0
"Less Than High School","Life Expectancy",-0.660201081469786,0
"Child Poverty","Less Than High School",0.659048044665511,0
"Adults 65 and Older Living in Poverty","Less Than High School",0.656446441924173,0
"Management, Professional, and Related Occupations","Production, Transportation, and Material moving Occupations",-0.655679778888048,0
"Median Earning","Poverty Rate",-0.648057373103452,0
"Child Poverty","Life Expectancy",-0.648022343912579,0
"Poverty Rate","Life Expectancy",-0.647173826871119,0
"Poverty Rate","Adult Smoking Rate",0.64251175486914,0
"Diabetes Rate","Teen Birth Rate",0.641154835896314,0
"Children Under 6 Living in Poverty","Diabetes Rate",0.639602842067761,0
"Unemployment Rate","Avg. No. of Physically Unhealthy Day",0.637782399699399,0
"White not Latino Population","African American Population",-0.636634117533278,0
"Poverty Rate","Teen Birth Rate",0.636427090900939,0
"Children Under 6 Living in Poverty","Avg. No. of Physically Unhealthy Day",0.636182735242794,0
"Life Expectancy","Infant Mortality",-0.626779128925155,0
"Avg. No. of Physically Unhealthy Day","Teen Birth Rate",0.62661838322537,0
"Life Expectancy","Adult Obesity Rate",-0.626433152121225,0
"Avg. No. of Mentally Unhealthy Day","Diabetes Rate",0.625462073202283,0
"African American Population","Homicide Rate",0.623805494746469,0
"Adult Smoking Rate","Adult Obesity Rate",0.62232536077688,0
"Child Poverty","Children in Single Parent Households Rate",0.621935110893337,0
"At Least Bachelor Degree","Adult Obesity Rate",-0.619433376490793,0
"Life Expectancy","Low Birth Weight Rate",-0.619269177504666,0
"Poverty Rate","Avg. No. of Mentally Unhealthy Day",0.618943118600847,0
"African American Population","Sexually Transmitted Infections Rate",0.617855561685459,0
"Sexually Transmitted Infections Rate","Children in Single Parent Households Rate",0.616848977214695,0
"Less Than High School","At Least Bachelor Degree",-0.615615202617437,9.88131291682493e-324
"Adults 65 and Older Living in Poverty","Diabetes Rate",0.608504912271768,1.7711553579184e-314
