"accuracy","kappa","misclassification","recall.TRUE","recall.FALSE","precision.TRUE","precision.FALSE","prevalence.TRUE","prevalence.FALSE","detection_prevalence.TRUE","detection_prevalence.FALSE","f1.TRUE","f1.FALSE","TP","FP","FN","TN","classifier","method","cv.iteration","cv.fold","sampling","neuralnet.algorithm","neuralnet.hidden","neuralnet.outThres","info","preprocess"
0.907077845381187,0.70060875567591,0.0929221546188127,0.904766213758028,0.91955697060019,0.983905421446387,0.642340486529736,0.844051589231538,0.155948410768462,0.776211071519555,0.223788928480445,0.942610584266604,0.755657350515217,593.75,9.75,62.5,111.5,"neuralnet","cv",1,4,"under","rprop+","2",0.5,"","normalize"
0.881012683323338,0.635507689273498,0.118987316676662,0.876182736570516,0.907109470261482,0.980820136387508,0.57792938222433,0.844051873255981,0.155948126744019,0.754013824938087,0.245986175061913,0.925415177603955,0.705176804029658,575,11.25,81.25,110,"neuralnet","cv",1,4,"under","rprop+","4",0.5,"","normalize"
0.877492944652328,0.601085941633171,0.122507055347672,0.889899348479786,0.810289933613332,0.962141698217021,0.577314909050078,0.844051589231538,0.155948410768462,0.780706891246737,0.219293108753263,0.924561811558306,0.673806455935116,584,23,72.25,98.25,"neuralnet","cv",1,4,"under","rprop+","10",0.5,"","normalize"
0.87588708796935,0.603306779093132,0.12411291203065,0.883812808590415,0.833068012464436,0.96630912020909,0.570238607834545,0.844051589231538,0.155948410768462,0.772024181728552,0.227975818271448,0.92318796273334,0.676754373750901,580,20.25,76.25,101,"neuralnet","cv",1,4,"under","rprop+","20",0.5,"","normalize"
0.90321345552411,0.692517090026294,0.0967865444758898,0.898664592382225,0.927855304159328,0.985381176292501,0.629330491585852,0.844051873255981,0.155948126744019,0.769771330105091,0.230228669894909,0.939997055318063,0.749728139215068,589.75,8.75,66.5,112.5,"neuralnet","cv",1,4,"under","rprop+","(2, 1)",0.5,"","normalize"
0.907718864659739,0.701089237893786,0.0922811353402613,0.90629060400193,0.915407803820621,0.983056151805217,0.643756412181268,0.844051589231538,0.155948410768462,0.778133302233559,0.221866697766441,0.943106972928178,0.755841312491559,594.75,10.25,61.5,111,"neuralnet","cv",1,4,"under","rprop+","(2, 2)",0.5,"","normalize"
0.895171842793951,0.667485392048725,0.104828157206049,0.893714964546906,0.903061915729576,0.980447395218539,0.613168860195665,0.844051589231538,0.155948410768462,0.769456382566922,0.230543617433078,0.934958283237881,0.72936467755345,586.5,11.75,69.75,109.5,"neuralnet","cv",1,4,"under","rprop+","(3, 2)",0.5,"","normalize"
0.899679242224229,0.67829300818164,0.100320757775771,0.898667492668077,0.905161902181276,0.980895260928052,0.622634789044507,0.844051589231538,0.155948410768462,0.773311183015553,0.226688816984447,0.937976519865831,0.737717877973318,589.75,11.5,66.5,109.75,"neuralnet","cv",1,4,"under","rprop+","(3, 4)",0.5,"","normalize"
0.906114248659236,0.697843434149395,0.0938857513407642,0.904760413186324,0.913409429616583,0.982637506812945,0.642687792493193,0.844051589231538,0.155948410768462,0.777175495363156,0.222824504636844,0.941985982616367,0.753436324280411,593.75,10.5,62.5,110.75,"neuralnet","cv",1,4,"under","rprop+","(4, 3)",0.5,"","normalize"
0.911896583911988,0.713703611713028,0.0881034160880117,0.909716421650518,0.923638395881317,0.984753726400585,0.654667730154066,0.844051873255981,0.155948126744019,0.779749720378732,0.220250279621268,0.945724430216248,0.765999835028731,597,9.25,59.25,112,"neuralnet","cv",1,4,"under","rprop+","(5, 2)",0.5,"","normalize"
